No,Wisata,Kategori,Lokasi,Tarif,Rating,Experience
103,Istana Negara Republik Indonesia,Budaya,Jakarta,0,4.6,Edukasi
104,Istana Negara Republik Indonesia,Budaya,Jakarta,0,4.6,Relaksasi
105,Museum Macan (Modern and Contemporary Art in Nusantara),Budaya,Jakarta,150000,4.5,Edukasi
106,Museum Macan (Modern and Contemporary Art in Nusantara),Budaya,Jakarta,500000,4.5,Seni
107,Galeri Nasional Indonesia,Budaya,Jakarta,100000,4.6,Edukasi
108,Galeri Nasional Indonesia,Budaya,Jakarta,250000,4.6,Seni
109,Museum Bahari Jakarta,Budaya,Jakarta,50000,4.4,Edukasi
110,Museum Bahari Jakarta,Budaya,Jakarta,10000,4.4,Fotografi
111,Museum Seni Rupa dan Kramik,Budaya,Jakarta,25000,4.4,Edukasi
112,Museum Seni Rupa dan Kramik,Budaya,Jakarta,300000,4.4,Seni
113,The Escape Hunt,Taman Hiburan,Jakarta,250000,4.4,Adrenalin
114,The Escape Hunt,Taman Hiburan,Jakarta,250000,4.4,Edukasi
115,Monumen Selamat Datang,Budaya,Jakarta,0,4.7,Edukasi
116,Monumen Selamat Datang,Budaya,Jakarta,0,4.7,Fotografi
117,Jakarta Aquarium dan Safari,Taman Hiburan,Jakarta,250000,4.6,Adrenalin
118,Jakarta Aquarium dan Safari,Taman Hiburan,Jakarta,2000000,4.6,Aktivitas Air
119,Pulau Semak Daun,Bahari,Jakarta,100000,4.0,Aktivitas Air
120,Pulau Semak Daun,Bahari,Jakarta,150000,4.0,Camping
121,Pulau Semak Daun,Bahari,Jakarta,100000,4.0,Kuliner
122,Taman Situ Lembang,Taman Hiburan,Jakarta,0,4.5,Relaksasi
123,Taman Situ Lembang,Taman Hiburan,Jakarta,50000,4.5,Kuliner
124,Taman Ismail Marzuki,Budaya,Jakarta,150000,4.6,Seni
125,Taman Ismail Marzuki,Budaya,Jakarta,200000,4.6,Edukasi
126,Taman Ismail Marzuki,Budaya,Jakarta,200000,4.6,Kuliner
127,Galeri Indonesia Kaya,Budaya,Jakarta,0,4.8,Seni
128,Galeri Indonesia Kaya,Budaya,Jakarta,200000,4.8,Kuliner
129,Museum Joang 45,Budaya,Jakarta,5000,4.0,Edukasi
130,Museum Joang 45,Budaya,Jakarta,10000,4.0,Fotografi
131,Museum Joang 46,Budaya,Jakarta,100000,4.0,Belanja
132,Museum Joang 46,Budaya,Jakarta,4000,4.0,Fotografi
133,Jakarta Planetarium,Taman Hiburan,Jakarta,50000,4.1,Astronomi
134,Jakarta Planetarium,Taman Hiburan,Jakarta,150000,4.1,Belanja
135,Jakarta Planetarium,Taman Hiburan,Jakarta,0,4.1,Edukasi
136,Kampung Cina,Budaya,Jakarta,50000,4.5,Seni
137,Kampung Cina,Budaya,Jakarta,300000,4.5,Belanja
138,Kampung Cina,Budaya,Jakarta,0,4.5,Relaksasi
139,Rumah Sipitung,Budaya,Jakarta,5000,4.5,Edukasi
140,Rumah Sipitung,Budaya,Jakarta,0,4.5,Relaksasi
141,Taman Agrowisata Cilangkap,Taman Hiburan,Jakarta,75000,4.2,Edukasi
142,Taman Agrowisata Cilangkap,Taman Hiburan,Jakarta,0,4.2,Relaksasi
143,Taman Agrowisata Cilangkap,Taman Hiburan,Jakarta,70000,4.2,Bertani
144,Klenteng Jin De Yuan,Tempat Ibadah,Jakarta,0,4.5,Spiritualitas
145,Klenteng Jin De Yuan,Tempat Ibadah,Jakarta,20000,4.5,Edukasi
146,Pantai Ancol,Bahari,Jakarta,600000,4.4,Aktivitas Air
147,Pantai Ancol,Bahari,Jakarta,50000,4.4,Relaksasi
148,Pantai Ancol,Bahari,Jakarta,200000,4.4,Seni
149,Taman Lapangan Banteng,Taman Hiburan,Jakarta,0,4.7,Olahraga
150,Taman Lapangan Banteng,Taman Hiburan,Jakarta,50000,4.7,Piknik
151,Taman Lapangan Banteng,Taman Hiburan,Jakarta,100000,4.7,Seni
152,Taman Ayodya,Taman Hiburan,Jakarta,50000,4.4,Piknik
153,Taman Ayodya,Taman Hiburan,Jakarta,100000,4.4,Seni
154,Taman Ayodya,Taman Hiburan,Jakarta,0,4.4,Olahraga
155,Museum Sumpah Pemuda,Budaya,Jakarta,20000,4.7,Edukasi
156,Museum Sumpah Pemuda,Budaya,Jakarta,10000,4.7,Seni
157,Museum Tekstil,Budaya,Jakarta,15000,4.5,Edukasi
158,Museum Tekstil,Budaya,Jakarta,15000,4.5,Seni
159,Tugu Proklamasi,Budaya,Jakarta,0,4.6,Edukasi
160,Tugu Proklamasi,Budaya,Jakarta,0,4.6,Fotografi
161,Taman Legenda Keong Emas,Taman Hiburan,Jakarta,100000,4.5,Adrenalin
162,Taman Legenda Keong Emas,Taman Hiburan,Jakarta,50000,4.5,Relaksasi
163,Museum Kebangkitan Nasional,Budaya,Jakarta,10000,4.7,Edukasi
164,Museum Kebangkitan Nasional,Budaya,Jakarta,5000,4.7,Fotografi
165,Museum Sasmita Loka Ahmad Yani,Budaya,Jakarta,10000,4.7,Edukasi
166,Museum Sasmita Loka Ahmad Yani,Budaya,Jakarta,5000,4.7,Relaksasi
167,Museum Basoeki Abdullah,Budaya,Jakarta,20000,4.6,Edukasi
168,Museum Basoeki Abdullah,Budaya,Jakarta,10000,4.5,Relaksasi
169,Museum Layang-layang,Budaya,Jakarta,20000,4.5,Edukasi
170,Museum Layang-layang,Budaya,Jakarta,200000,4.5,Seni
171,Margasatwa Muara Angke,Cagar Alam,Jakarta,20000,4.2,Relaksasi
172,Margasatwa Muara Angke,Cagar Alam,Jakarta,50000,4.2,Edukasi
173,Margasatwa Muara Angke,Cagar Alam,Jakarta,100000,4.2,Aktivitas Air
174,Pasar Petak Sembilan,Pusat Perbelanjaan,Jakarta,500000,4.4,Belanja
175,Pasar Petak Sembilan,Pusat Perbelanjaan,Jakarta,80000,4.4,Kuliner
176,Pasar Petak Sembilan,Pusat Perbelanjaan,Jakarta,0,4.4,Relaksasi
177,Freedom Library,Budaya,Jakarta,0,5.0,Edukasi
178,Freedom Library,Budaya,Jakarta,0,5.0,Fotografi
179,Perpustakaan Nasional,Budaya,Jakarta,0,4.7,Edukasi
180,Perpustakaan Nasional,Budaya,Jakarta,0,4.7,Relaksasi
181,Cibubur Garden Diary (Cibugary),Cagar Alam,Jakarta,50000,4.5,Relaksasi
182,Cibubur Garden Diary (Cibugary),Cagar Alam,Jakarta,150000,4.5,Kuliner
183,Cibubur Garden Diary (Cibugary),Cagar Alam,Jakarta,40000,4.5,Adrenalin
184,Waterboom PIK (Pantai Indah Kapuk),Taman Hiburan,Jakarta,150000,4.4,Adrenalin
185,Waterboom PIK (Pantai Indah Kapuk),Taman Hiburan,Jakarta,150000,4.4,Aktivitas Air
186,Museum Perangko,Budaya,Jakarta,20000,4.4,Edukasi
187,Museum Perangko,Budaya,Jakarta,20000,4.4,
188,Museum Tengah Kebun,Budaya,Jakarta,20000,4.6,Relaksasi
189,Museum Tengah Kebun,Budaya,Jakarta,100000,4.6,Seni
190,SnowBay Waterpark,Taman Hiburan,Jakarta,150000,4.3,Aktivitas Air
191,SnowBay Waterpark,Taman Hiburan,Jakarta,150000,4.3,Adrenalin
192,Taman Cattleya,Taman Hiburan,Jakarta,0,4.5,Relaksasi
193,Taman Cattleya,Taman Hiburan,Jakarta,0,4.5,Olahraga
194,Taman Hutan Tebet,Taman Hiburan,Jakarta,0,4.4,Olahraga
195,Taman Hutan Tebet,Taman Hiburan,Jakarta,0,4.4,Relaksasi
196,Hutan Kota Srengseng,Taman Hiburan,Jakarta,0,4.3,Olahraga
197,Hutan Kota Srengseng,Taman Hiburan,Jakarta,0,4.3,Relaksasi
198,Taman Spathodea,Taman Hiburan,Jakarta,0,4.6,Relaksasi
199,Taman Spathodea,Taman Hiburan,Jakarta,0,4.6,Olahraga
200,Plaza Indonesia,Pusat Perbelanjaan,Jakarta,0,4.7,Relaksasi
201,Plaza Indonesia,Pusat Perbelanjaan,Jakarta,500000,4.7,Kuliner
202,Plaza Indonesia,Pusat Perbelanjaan,Jakarta,1000000,4.7,Belanja
203,Mall Thamrin City,Pusat Perbelanjaan,Jakarta,1000000,4.4,Belanja
204,Mall Thamrin City,Pusat Perbelanjaan,Jakarta,150000,4.4,Kuliner
205,Museum Satria Mandala,Budaya,Jakarta,10000,4.5,Edukasi
206,Museum Satria Mandala,Budaya,Jakarta,5000,4.5,Fotografi
207,Alive Museum Ancol,Taman Hiburan,Jakarta,150000,4.3,Seni
208,Alive Museum Ancol,Taman Hiburan,Jakarta,10000,4.3,Relaksasi
209,Kawasan Kuliner BSM,Pusat Perbelanjaan,Jakarta,150000,4.6,Kuliner
210,Kawasan Kuliner BSM,Pusat Perbelanjaan,Jakarta,0,4.6,Relaksasi
211,Taman Pintar Yogyakarta,Taman Hiburan,Yogyakarta,30000,4.5,Astronomi
212,Taman Pintar Yogyakarta,Taman Hiburan,Yogyakarta,25000,4.5,Edukasi
213,Keraton Yogyakarta,Budaya,Yogyakarta,25000,4.6,Edukasi
214,Keraton Yogyakarta,Budaya,Yogyakarta,100000,4.6,Belanja
215,Sindu Kusuma Edupark (SKE),Taman Hiburan,Yogyakarta,50000,4.2,Adrenalin
216,Sindu Kusuma Edupark (SKE),Taman Hiburan,Yogyakarta,20000,4.2,Aktivitas Air
217,Museum Benteng Vredeburg Yogyakarta,Budaya,Yogyakarta,10000,4.6,Edukasi
218,Museum Benteng Vredeburg Yogyakarta,Budaya,Yogyakarta,5000,4.6,Fotografi
219,De Mata Museum Jogja,Budaya,Yogyakarta,60000,4.4,Edukasi
220,De Mata Museum Jogja,Budaya,Yogyakarta,60000,4.4,Fotografi
221,Kampung Wisata Taman Sari,Taman Hiburan,Yogyakarta,15000,4.6,Aktivitas Air
222,Kampung Wisata Taman Sari,Taman Hiburan,Yogyakarta,100000,4.6,Seni
223,Kampung Wisata Taman Sari,Taman Hiburan,Yogyakarta,50000,4.6,Kuliner
224,Situs Warungboto,Taman Hiburan,Yogyakarta,0,4.4,Edukasi
225,Situs Warungboto,Taman Hiburan,Yogyakarta,30000,4.4,Kuliner
226,Nol Kilometer Jl.Malioboro,Taman Hiburan,Yogyakarta,0,4.7,Relaksasi
227,Nol Kilometer Jl.Malioboro,Taman Hiburan,Yogyakarta,50000,4.7,Kuliner
228,Nol Kilometer Jl.Malioboro,Taman Hiburan,Yogyakarta,20000,4.7,Belanja
229,Gembira Loka Zoo,Cagar Alam,Yogyakarta,20000,4.5,Adrenalin
230,Gembira Loka Zoo,Cagar Alam,Yogyakarta,75000,4.5,Relaksasi
231,Sumur Gumuling,Taman Hiburan,Yogyakarta,30000,4.5,Edukasi
232,Sumur Gumuling,Taman Hiburan,Yogyakarta,5000,4.5,Fotografi
233,Desa Wisata Sungai Code Jogja Kota,Taman Hiburan,Yogyakarta,100000,5.0,Seni
234,Desa Wisata Sungai Code Jogja Kota,Taman Hiburan,Yogyakarta,50000,5.0,Kuliner
235,Desa Wisata Sungai Code Jogja Kota,Taman Hiburan,Yogyakarta,0,5.0,Relaksasi
236,Alun Alun Selatan Yogyakarta,Taman Hiburan,Yogyakarta,0,4.6,Relaksasi
237,Alun Alun Selatan Yogyakarta,Taman Hiburan,Yogyakarta,50000,4.6,Kuliner
238,Alun Alun Selatan Yogyakarta,Taman Hiburan,Yogyakarta,15000,4.6,Adrenalin
239,Monumen Yogya Kembali,Budaya,Yogyakarta,15000,4.5,Edukasi
240,Monumen Yogya Kembali,Budaya,Yogyakarta,10000,4.5,Relaksasi
241,Taman Pelangi Yogyakarta,Taman Hiburan,Yogyakarta,25000,4.3,Relaksasi
242,Taman Pelangi Yogyakarta,Taman Hiburan,Yogyakarta,30000,4.3,Adrenalin
243,Taman Pelangi Yogyakarta,Taman Hiburan,Yogyakarta,50000,4.3,Kuliner
244,Kampung Wisata Kadipaten,Budaya,Yogyakarta,0,4.4,Relaksasi
245,Kampung Wisata Kadipaten,Budaya,Yogyakarta,50000,4.4,Kuliner
246,Taman Budaya Yogyakarta,Budaya,Yogyakarta,25000,4.5,Seni
247,Taman Budaya Yogyakarta,Budaya,Yogyakarta,25000,4.5,Edukasi
248,Kampung Wisata Sosro Menduran,Budaya,Yogyakarta,20000,4.0,Relaksasi
249,Kampung Wisata Sosro Menduran,Budaya,Yogyakarta,50000,4.0,Kuliner
250,Kampung Wisata Sosro Menduran,Budaya,Yogyakarta,150000,4.0,Seni
251,Monumen Batik Yogyakarta,Budaya,Yogyakarta,20000,4.5,Edukasi
252,Monumen Batik Yogyakarta,Budaya,Yogyakarta,200000,4.5,Seni
253,Tugu Pal Putih Jogja,Taman Hiburan,Yogyakarta,0,4.7,Relaksasi
254,Tugu Pal Putih Jogja,Taman Hiburan,Yogyakarta,50000,4.7,Kuliner
255,Tebing Breksi,Budaya,Yogyakarta,0,4.4,Relaksasi
256,Tebing Breksi,Budaya,Yogyakarta,20000,4.4,Adrenalin
257,Tebing Breksi,Budaya,Yogyakarta,50000,4.4,Kuliner
258,Candi Donotirto,Budaya,Yogyakarta,0,4.4,Edukasi
259,Candi Donotirto,Budaya,Yogyakarta,0,4.4,Relaksasi
260,Kawasan Malioboro,Taman Hiburan,Yogyakarta,0,4.8,Relaksasi
261,Kawasan Malioboro,Taman Hiburan,Yogyakarta,500000,4.8,Belanja
262,Kawasan Malioboro,Taman Hiburan,Yogyakarta,100000,4.8,Kuliner
263,Bangsal Pagelaran,Budaya,Yogyakarta,0,4.6,Relaksasi
264,Bangsal Pagelaran,Budaya,Yogyakarta,100000,4.6,Seni
265,Embung Tambakboyo,Taman Hiburan,Yogyakarta,0,4.4,Relaksasi
266,Embung Tambakboyo,Taman Hiburan,Yogyakarta,20000,4.4,Piknik
267,Hutan Pinus Pengger,Taman Hiburan,Yogyakarta,0,4.5,Relaksasi
268,Hutan Pinus Pengger,Taman Hiburan,Yogyakarta,0,4.5,Camping
269,Monumen Serangan Umum 1 Maret,Taman Hiburan,Yogyakarta,0,4.6,Edukasi
270,Monumen Serangan Umum 1 Maret,Taman Hiburan,Yogyakarta,0,4.6,Fotografi
271,Puncak Pinus Becici,Taman Hiburan,Yogyakarta,20000,4.5,Relaksasi
272,Puncak Pinus Becici,Taman Hiburan,Yogyakarta,0,4.5,Adrenalin
273,Bukit Bintang Yogyakarta,Taman Hiburan,Yogyakarta,15000,4.5,Relaksasi
274,Bukit Bintang Yogyakarta,Taman Hiburan,Yogyakarta,50000,4.5,Kuliner
275,Gedung Agung Yogyakarta,Budaya,Yogyakarta,0,4.6,Fotografi
276,Gedung Agung Yogyakarta,Budaya,Yogyakarta,10000,4.6,Edukasi
277,The Lost World Castle,Taman Hiburan,Yogyakarta,50000,4.3,Relaksasi
278,The Lost World Castle,Taman Hiburan,Yogyakarta,15000,4.3,Fotografi
279,Monumen Sanapati,Budaya,Yogyakarta,20000,4.3,Edukasi
280,Monumen Sanapati,Budaya,Yogyakarta,10000,4.3,Fotografi
281,Jurang Tembelan Kanigoro,Taman Hiburan,Yogyakarta,20000,4.5,Relaksasi
282,Jurang Tembelan Kanigoro,Taman Hiburan,Yogyakarta,10000,4.5,Adrenalin
283,Jurang Tembelan Kanigoro,Taman Hiburan,Yogyakarta,10000,4.5,Fotografi
284,The World Landmarks - Merapi Park Yogyakarta,Taman Hiburan,Yogyakarta,50000,4.2,Adrenalin
285,The World Landmarks - Merapi Park Yogyakarta,Taman Hiburan,Yogyakarta,10000,4.2,Relaksasi
286,Museum Sonobudoyo Unit I,Budaya,Yogyakarta,10000,4.6,Seni
287,Museum Sonobudoyo Unit I,Budaya,Yogyakarta,10000,4.6,Edukasi
288,Lava Bantal,Budaya,Yogyakarta,20000,4.4,Relaksasi
289,Lava Bantal,Budaya,Yogyakarta,50000,4.4,Adrenalin
290,Lava Bantal,Budaya,Yogyakarta,20000,4.4,Edukasi
291,Bukit Panguk Kediwung,Budaya,Yogyakarta,20000,4.5,Edukasi
292,Bukit Panguk Kediwung,Budaya,Yogyakarta,20000,4.5,Fotografi
293,Candi Prambanan,Budaya,Yogyakarta,100000,4.7,Edukasi
294,Candi Prambanan,Budaya,Yogyakarta,100000,4.7,Relaksasi
295,Candi Prambanan,Budaya,Yogyakarta,100000,4.7,Fotografi
296,Watu Goyang,Budaya,Yogyakarta,20000,4.4,Relaksasi
297,Watu Goyang,Budaya,Yogyakarta,20000,4.4,Fotografi
298,Watu Goyang,Budaya,Yogyakarta,20000,4.4,Adrenalin
299,Kampung Wisata Rejowinangun,Budaya,Yogyakarta,50000,4.3,Edukasi
300,Kampung Wisata Rejowinangun,Budaya,Yogyakarta,20000,4.3,Relaksasi
301,Kampung Wisata Rejowinangun,Budaya,Yogyakarta,50000,4.3,Kuliner
302,Kauman Pakualaman Yogyakarta,Budaya,Yogyakarta,50000,5.0,Edukasi
303,Kauman Pakualaman Yogyakarta,Budaya,Yogyakarta,20000,5.0,Relaksasi
304,Kauman Pakualaman Yogyakarta,Budaya,Yogyakarta,50000,5.0,Kuliner
305,Alun-alun Utara Keraton Yogyakarta,Budaya,Yogyakarta,20000,4.6,Seni
306,Alun-alun Utara Keraton Yogyakarta,Budaya,Yogyakarta,0,4.6,Relaksasi
307,Alun-alun Utara Keraton Yogyakarta,Budaya,Yogyakarta,50000,4.6,Kuliner
308,Pantai Goa Cemara,Bahari,Yogyakarta,0,4.3,Relaksasi
309,Pantai Goa Cemara,Bahari,Yogyakarta,100000,4.3,Aktivitas Air
310,Pantai Goa Cemara,Bahari,Yogyakarta,50000,4.3,Kuliner
311,Blue Lagoon Jogja,Taman Hiburan,Yogyakarta,50000,4.3,Aktivitas Air
312,Blue Lagoon Jogja,Taman Hiburan,Yogyakarta,0,4.3,Relaksasi
313,Blue Lagoon Jogja,Taman Hiburan,Yogyakarta,40000,4.3,Kuliner
314,Gumuk Pasir Parangkusumo,Taman Hiburan,Yogyakarta,150000,4.5,Aktivitas Air
315,Gumuk Pasir Parangkusumo,Taman Hiburan,Yogyakarta,0,4.5,Relaksasi
316,Gumuk Pasir Parangkusumo,Taman Hiburan,Yogyakarta,100000,4.5,Adrenalin
317,Bukit Lintang Sewu,Taman Hiburan,Yogyakarta,0,4.5,Relaksasi
318,Bukit Lintang Sewu,Taman Hiburan,Yogyakarta,0,4.5,Fotografi
319,Bukit Lintang Sewu,Taman Hiburan,Yogyakarta,50000,4.5,Kuliner
320,Studio Alam Gamplong,Taman Hiburan,Yogyakarta,50000,4.4,Edukasi
321,Studio Alam Gamplong,Taman Hiburan,Yogyakarta,50000,4.4,Kuliner
322,Studio Alam Gamplong,Taman Hiburan,Yogyakarta,100000,4.4,Fotografi
323,Watu Lumbung,Cagar Alam,Yogyakarta,10000,4.3,Relaksasi
324,Watu Lumbung,Cagar Alam,Yogyakarta,10000,4.3,Fotografi
325,Watu Lumbung,Cagar Alam,Yogyakarta,100000,4.3,Camping
326,Air Terjun Kedung Pedut,Cagar Alam,Yogyakarta,20000,4.5,Relaksasi
327,Air Terjun Kedung Pedut,Cagar Alam,Yogyakarta,20000,4.5,Aktivitas Air
328,Air Terjun Kedung Pedut,Cagar Alam,Yogyakarta,50000,4.5,Kuliner
329,Puncak Kebun Buah Mangunan,Taman Hiburan,Yogyakarta,20000,4.6,Relaksasi
330,Puncak Kebun Buah Mangunan,Taman Hiburan,Yogyakarta,50000,4.6,Kuliner
331,Desa Wisata Gamplong,Taman Hiburan,Yogyakarta,0,4.4,Relaksasi
332,Desa Wisata Gamplong,Taman Hiburan,Yogyakarta,100000,4.4,Edukasi
